,site_no,Date,Temp (max),,Temp (min),,
USGS,9147500,7/27/13,15.2,A,7.4,A,
USGS,9147500,7/28/13,10.5,A,8.2,A,
USGS,9147500,7/29/13,14.6,A,8.7,A,
USGS,9147500,7/30/13,15.7,A,8.1,A,
USGS,9147500,7/31/13,14.7,A,7.6,A,
USGS,9147500,8/1/13,12.1,A,8.2,A,
USGS,9147500,8/2/13,16.5,A,8.6,A,
USGS,9147500,8/3/13,14.5,A,8.5,A,
USGS,9147500,8/4/13,14.1,A,8,A,
USGS,9147500,8/5/13,14.4,A,8.7,A,
USGS,9147500,8/6/13,14.1,A,8,A,
USGS,9147500,8/7/13,12.2,A,8.4,A,
USGS,9147500,8/8/13,15.3,A,9,A,
USGS,9147500,8/9/13,12.9,A,8.1,A,
USGS,9147500,8/10/13,12.6,A,7.8,A,
USGS,9147500,8/11/13,16,A,7.7,A,
USGS,9147500,8/12/13,14.8,A,8.5,A,
USGS,9147500,8/13/13,15.2,A,8.3,A,
USGS,9147500,8/14/13,14.7,A,8.2,A,
USGS,9147500,8/15/13,14.5,A,7.9,A,
USGS,9147500,8/16/13,16.4,A,7.9,A,
USGS,9147500,8/17/13,15.8,A,8.2,A,
USGS,9147500,8/18/13,13,A,8.7,A,
USGS,9147500,8/19/13,15.5,A,8.5,A,
USGS,9147500,8/20/13,14.2,A,8.6,A,
USGS,9147500,8/21/13,14.8,A,8.3,A,
USGS,9147500,8/22/13,14.4,A,8.8,A,
USGS,9147500,8/23/13,14.7,A,8.7,A,
USGS,9147500,8/24/13,11.5,A,8.8,A,
USGS,9147500,8/25/13,11.5,A,9,A,
USGS,9147500,8/26/13,13.5,A,8.9,A,
USGS,9147500,8/27/13,15.3,A,8.8,A,
USGS,9147500,8/28/13,14.8,A,9.3,A,
USGS,9147500,8/29/13,14.4,A,9,A,
USGS,9147500,8/30/13,14.8,A,9.5,A,
USGS,9147500,8/31/13,15.2,A,9.3,A,
USGS,9147500,9/1/13,14,A,9.3,A,
USGS,9147500,9/2/13,15.3,A,9.5,A,
USGS,9147500,9/3/13,15.1,A,9.6,A,
USGS,9147500,9/4/13,16,A,9.8,A,
USGS,9147500,9/5/13,15.3,A,10.1,A,
USGS,9147500,9/6/13,15.6,A,10.1,A,
USGS,9147500,9/7/13,15.3,A,10,A,
USGS,9147500,9/8/13,14.4,A,10.5,A,
USGS,9147500,9/9/13,12.9,A,10.2,A,
USGS,9147500,9/10/13,13.2,A,10.7,A,
USGS,9147500,9/11/13,15.2,A,10.7,A,
USGS,9147500,9/12/13,14.4,A,10.1,A,
USGS,9147500,9/13/13,14.2,A,10.7,A,
USGS,9147500,9/14/13,13.3,A,10.8,A,
USGS,9147500,9/15/13,14.4,A,10.5,A,
USGS,9147500,9/16/13,15.5,A,10.2,A,
USGS,9147500,9/17/13,14.6,A,10,A,
USGS,9147500,9/18/13,13.3,A,10.5,A,
USGS,9147500,9/19/13,15.2,A,10.4,A,
USGS,9147500,9/20/13,15.2,A,9.6,A,
USGS,9147500,9/21/13,15.2,A,10.5,A,
USGS,9147500,9/22/13,13.3,A,10.4,A,
USGS,9147500,9/23/13,14,A,9.8,A,
USGS,9147500,9/24/13,14.5,A,8.7,A,
USGS,9147500,9/25/13,14.8,A,9.4,A,
USGS,9147500,9/26/13,14.7,A,9.6,A,
USGS,9147500,9/27/13,12.2,A,9.8,A,
USGS,9147500,9/28/13,13.9,A,8.6,A,
USGS,9147500,9/29/13,14.7,A,8.9,A,
USGS,9147500,9/30/13,15.4,A,9.5,A,
USGS,9147500,10/1/13,15.7,A,9.6,A,
USGS,9147500,10/2/13,15.5,A,9.4,A,
USGS,9147500,10/3/13,15.8,A,9.6,A,
USGS,9147500,10/4/13,13,A,9.1,A,
USGS,9147500,10/5/13,14,A,9.1,A,
USGS,9147500,10/6/13,14.4,A,8.7,A,
USGS,9147500,10/7/13,15.2,A,9.3,A,
USGS,9147500,10/8/13,15.3,A,10.1,A,
USGS,9147500,10/9/13,13.7,A,9.9,A,
USGS,9147500,10/10/13,11.2,A,10,A,
USGS,9147500,10/11/13,12,A,9.8,A,
USGS,9147500,10/12/13,14.5,A,8.6,A,
USGS,9147500,10/13/13,15,A,8.8,A,
USGS,9147500,10/14/13,11.7,A,9.7,A,
USGS,9147500,10/15/13,12.8,A,9.1,A,
USGS,9147500,10/16/13,12.9,A,9.2,A,
USGS,9147500,10/17/13,13.8,A,8.3,A,
USGS,9147500,10/18/13,13,A,8.7,A,
USGS,9147500,10/19/13,13.5,A,7.9,A,
USGS,9147500,10/20/13,12.9,A,8,A,
USGS,9147500,10/21/13,13.5,A,8.4,A,
USGS,9147500,10/22/13,13.6,A,7.9,A,
USGS,9147500,10/23/13,14.1,A,8.2,A,
USGS,9147500,10/24/13,13.6,A,6.9,A,
USGS,9147500,10/25/13,12.2,A,8.2,A,
USGS,9147500,10/26/13,13.8,A,7.4,A,
USGS,9147500,10/27/13,13.1,A,7.1,A,
USGS,9147500,10/28/13,13.1,A,7.7,A,
USGS,9147500,10/29/13,11.5,A,7.6,A,
USGS,9147500,10/30/13,9.8,A,6.6,A,
USGS,9147500,10/31/13,9.3,A,6.6,A,
USGS,9147500,11/1/13,11,A,6.1,A,
USGS,9147500,11/2/13,11.2,A,3.8,A,
USGS,9147500,11/3/13,10.8,A,4.6,A,
USGS,9147500,11/4/13,7.6,A,4.7,A,
USGS,9147500,11/5/13,8.2,A,3.3,A,
USGS,9147500,11/6/13,9,A,1.3,A,
USGS,9147500,11/7/13,9.7,A,2.9,A,
USGS,9147500,11/8/13,10.8,A,4.4,A,
USGS,9147500,11/9/13,10.4,A,3.7,A,
USGS,9147500,11/10/13,10.6,A,3.8,A,
USGS,9147500,11/11/13,10.5,A,3.7,A,
USGS,9147500,11/12/13,10.4,A,3.5,A,
USGS,9147500,11/13/13,9.4,A,3.6,A,
USGS,9147500,11/14/13,10.1,A,4.8,A,
USGS,9147500,11/15/13,8.4,A,3.7,A,
USGS,9147500,11/16/13,7.1,A,4.7,A,
USGS,9147500,11/17/13,10.2,A,5.2,A,
USGS,9147500,11/18/13,9.3,A,3,A,
USGS,9147500,11/19/13,6.5,A,3.4,A,
USGS,9147500,11/20/13,7.9,A,5.1,A,
USGS,9147500,11/21/13,8.7,A,5.8,A,
USGS,9147500,11/22/13,6.3,A,4.5,A,
USGS,9147500,11/23/13,7.9,A,4.7,A,
USGS,9147500,11/24/13,6,A,4,A,
USGS,9147500,11/25/13,7.4,A,3.8,A,
USGS,9147500,11/26/13,7.8,A,1.7,A,
USGS,9147500,11/27/13,7.8,A,1.8,A,
USGS,9147500,11/28/13,7.9,A,2.1,A,
USGS,9147500,11/29/13,7,A,2,A,
USGS,9147500,11/30/13,7.3,A,2.9,A,
USGS,9147500,12/1/13,6.7,A,3.6,A,
USGS,9147500,12/2/13,5.1,A,3.5,A,
USGS,9147500,12/3/13,8.9,A,2.7,A,
USGS,9147500,12/4/13,5.3,A,0,A,
USGS,9147500,12/5/13,3.4,A,0,A,
USGS,9147500,12/6/13,3.7,A,0,A,
USGS,9147500,12/7/13,3.1,A,0.3,A,
USGS,9147500,12/8/13,3.4,A,0,A,
USGS,9147500,12/9/13,2.7,A,0,A,
USGS,9147500,12/10/13,1.8,A,0,A,
USGS,9147500,12/11/13,3.9,A,0,A,
USGS,9147500,12/12/13,4.3,A,0,A,
USGS,9147500,12/13/13,4.4,A,0,A,
USGS,9147500,12/14/13,4.2,A,0,A,
USGS,9147500,12/15/13,4.8,A,0,A,
USGS,9147500,12/16/13,5.3,A,0,A,
USGS,9147500,12/17/13,5.4,A,0,A,
USGS,9147500,12/18/13,5,A,0.3,A,
USGS,9147500,12/19/13,6.4,A,1.5,A,
USGS,9147500,12/20/13,4.6,A,2.3,A,
USGS,9147500,12/21/13,3.8,A,1.8,A,
USGS,9147500,12/22/13,4.6,A,0.4,A,
USGS,9147500,12/23/13,5.4,A,0.7,A,
USGS,9147500,12/24/13,4.4,A,0.2,A,
USGS,9147500,12/25/13,4.2,A,0,A,
USGS,9147500,12/26/13,4.3,A,0,A,
USGS,9147500,12/27/13,5.1,A,0,A,
USGS,9147500,12/28/13,4.6,A,0.1,A,
USGS,9147500,12/29/13,4.3,A,0,A,
USGS,9147500,12/30/13,4.4,A,0,A,
USGS,9147500,12/31/13,5,A,0,A,
USGS,9147500,1/1/14,5.4,A,0.4,A,
USGS,9147500,1/2/14,4.8,A,0,A,
USGS,9147500,1/3/14,5,A,0,A,
USGS,9147500,1/4/14,1.8,A,0,A,
USGS,9147500,1/5/14,1.9,A,0,A,
USGS,9147500,1/6/14,0.8,A,0,A,
USGS,9147500,1/7/14,1.5,A,0,A,
USGS,9147500,1/8/14,3.8,A,0.9,A,
USGS,9147500,1/9/14,3,A,0.3,A,
USGS,9147500,1/10/14,3.3,A,0.7,A,
USGS,9147500,1/11/14,5.7,A,1.1,A,
USGS,9147500,1/12/14,4.1,A,0.8,A,
USGS,9147500,1/13/14,4.9,A,0,A,
USGS,9147500,1/14/14,5.1,A,0,A,
USGS,9147500,1/15/14,5.4,A,0,A,
USGS,9147500,1/16/14,5.1,A,0,A,
USGS,9147500,1/17/14,5.4,A,0,A,
USGS,9147500,1/18/14,5.4,A,0,A,
USGS,9147500,1/19/14,5.9,A,0,A,
USGS,9147500,1/20/14,5.8,A,0,A,
USGS,9147500,1/21/14,5.1,A,0,A,
USGS,9147500,1/22/14,3.4,A,0,A,
USGS,9147500,1/23/14,4.9,A,0,A,
USGS,9147500,1/24/14,4.5,A,0,A,
USGS,9147500,1/25/14,4.6,A,0,A,
USGS,9147500,1/26/14,5.7,A,0,A,
USGS,9147500,1/27/14,6.7,A,0,A,
USGS,9147500,1/28/14,5.6,A,0,A,
USGS,9147500,1/29/14,5.7,A,0,A,
USGS,9147500,1/30/14,3.5,A,1.2,A,
USGS,9147500,1/31/14,3.3,A,0,A,
USGS,9147500,2/1/14,4.3,A,0.4,A,
USGS,9147500,2/2/14,3,A,0,A,
USGS,9147500,2/3/14,4.2,A,0,A,
USGS,9147500,2/4/14,3.1,A,0.2,A,
USGS,9147500,2/5/14,3.4,A,0,A,
USGS,9147500,2/6/14,4.9,A,0,A,
USGS,9147500,2/7/14,6.4,A,0.4,A,
USGS,9147500,2/8/14,6.3,A,0.9,A,
USGS,9147500,2/9/14,5.2,A,2.2,A,
USGS,9147500,2/10/14,4,A,2.2,A,
USGS,9147500,2/11/14,6.4,A,0.3,A,
USGS,9147500,2/12/14,7.3,A,0,A,
USGS,9147500,2/13/14,7.7,A,2.6,A,
USGS,9147500,2/14/14,6.2,A,2.5,A,
USGS,9147500,2/15/14,5.7,A,2.7,A,
USGS,9147500,2/16/14,7.6,A,1.8,A,
USGS,9147500,2/17/14,8.3,A,0,A,
USGS,9147500,2/18/14,9.2,A,0.6,A,
USGS,9147500,2/19/14,6.5,A,2.1,A,
USGS,9147500,2/20/14,6.7,A,0,A,
USGS,9147500,2/21/14,8.3,A,0,A,
USGS,9147500,2/22/14,9,A,0.4,A,
USGS,9147500,2/23/14,9.3,A,0,A,
USGS,9147500,2/24/14,9.6,A,0,A,
USGS,9147500,2/25/14,9.8,A,0.1,A,
USGS,9147500,2/26/14,9.7,A,0.5,A,
USGS,9147500,2/27/14,4.6,A,1.5,A,
USGS,9147500,2/28/14,5.7,A,2.1,A,
USGS,9147500,3/1/14,5.9,A,3,A,
USGS,9147500,3/2/14,7.6,A,2.3,A,
USGS,9147500,3/3/14,9,A,1.4,A,
USGS,9147500,3/4/14,5.9,A,1,A,
USGS,9147500,3/5/14,10.2,A,1.7,A,
USGS,9147500,3/6/14,8.8,A,1.1,A,
USGS,9147500,3/7/14,4.5,A,2.2,A,
USGS,9147500,3/8/14,10.1,A,2.2,A,
USGS,9147500,3/9/14,11,A,0.7,A,
USGS,9147500,3/10/14,9.3,A,1.1,A,
USGS,9147500,3/11/14,8.5,A,2.3,A,
USGS,9147500,3/12/14,10.1,A,0.4,A,
USGS,9147500,3/13/14,7.3,A,0.6,A,
USGS,9147500,3/14/14,11.3,A,1.4,A,
USGS,9147500,3/15/14,7.3,A,1.9,A,
USGS,9147500,3/16/14,10.9,A,0.1,A,
USGS,9147500,3/17/14,10.1,A,1.4,A,
USGS,9147500,3/18/14,8.6,A,1,A,
USGS,9147500,3/19/14,10.9,A,0.8,A,
USGS,9147500,3/20/14,8.6,A,0,A,
USGS,9147500,3/21/14,9.9,A,1.3,A,
USGS,9147500,3/22/14,5.8,A,2.2,A,
USGS,9147500,3/23/14,12,A,0.1,A,
USGS,9147500,3/24/14,12,A,0.4,A,
USGS,9147500,3/25/14,9.5,A,2.1,A,
USGS,9147500,3/26/14,6.6,A,2.8,A,
USGS,9147500,3/27/14,7.6,A,3.5,A,
USGS,9147500,3/28/14,7.9,A,3.3,A,
USGS,9147500,3/29/14,9.5,A,2.4,A,
USGS,9147500,3/30/14,7.1,A,3.4,A,
USGS,9147500,3/31/14,9.5,A,2.7,A,
USGS,9147500,4/1/14,9.2,A,3.6,A,
USGS,9147500,4/2/14,7.7,A,3.2,A,
USGS,9147500,4/3/14,8.4,A,2.8,A,
USGS,9147500,4/4/14,8.3,A,2.6,A,
USGS,9147500,4/5/14,7.6,A,3.5,A,
USGS,9147500,4/6/14,7.7,A,3.7,A,
USGS,9147500,4/7/14,9,A,3.9,A,
USGS,9147500,4/8/14,10.8,A,3.3,A,
USGS,9147500,4/9/14,9.3,A,3.4,A,
USGS,9147500,4/10/14,10.8,A,4.1,A,
USGS,9147500,4/11/14,10.8,A,3.3,A,
USGS,9147500,4/12/14,6.4,A,3.8,A,
USGS,9147500,4/13/14,4.9,A,3.2,A,
USGS,9147500,4/14/14,9.1,A,2.8,A,
USGS,9147500,4/15/14,8.2,A,2.8,A,
USGS,9147500,4/16/14,7.2,A,4.3,A,
USGS,9147500,4/17/14,10,A,3.6,A,
USGS,9147500,4/18/14,9.8,A,4,A,
USGS,9147500,4/19/14,8.9,A,4.9,A,
USGS,9147500,4/20/14,10.5,A,4.3,A,
USGS,9147500,4/21/14,10.5,A,4,A,
USGS,9147500,4/22/14,8.2,A,4,A,
USGS,9147500,4/23/14,8,A,4.3,A,
USGS,9147500,4/24/14,9.6,A,3,A,
USGS,9147500,4/25/14,9.6,A,3.8,A,
USGS,9147500,4/26/14,7.6,A,4.7,A,
USGS,9147500,4/27/14,7,A,4.2,A,
USGS,9147500,4/28/14,6.3,A,4.2,A,
USGS,9147500,4/29/14,8,A,4.1,A,
USGS,9147500,4/30/14,7,A,4.1,A,
USGS,9147500,5/1/14,9.3,A,4.1,A,
USGS,9147500,5/2/14,9.8,A,4.4,A,
USGS,9147500,5/3/14,10.2,A,4.8,A,
USGS,9147500,5/4/14,8.8,A,5.2,A,
USGS,9147500,5/5/14,10.2,A,5.1,A,
USGS,9147500,5/6/14,9.6,A,5,A,
USGS,9147500,5/7/14,9.2,A,4.7,A,
USGS,9147500,5/8/14,7.2,A,5,A,
USGS,9147500,5/9/14,8.4,A,4.8,A,
USGS,9147500,5/10/14,7.1,A,5.2,A,
USGS,9147500,5/11/14,8.2,A,5.6,A,
USGS,9147500,5/12/14,6.9,A,4.8,A,
USGS,9147500,5/13/14,9.5,A,4.9,A,
USGS,9147500,5/14/14,10.2,A,4.7,A,
USGS,9147500,5/15/14,10.6,A,5.3,A,
USGS,9147500,5/16/14,9.8,A,5.5,A,
USGS,9147500,5/17/14,10.2,A,6,A,
USGS,9147500,5/18/14,9.8,A,6.1,A,
USGS,9147500,5/19/14,11.6,A,5.5,A,
USGS,9147500,5/20/14,11.3,A,5.3,A,
USGS,9147500,5/21/14,10.6,A,5.5,A,
USGS,9147500,5/22/14,9.2,A,5.7,A,
USGS,9147500,5/23/14,10.5,A,5.9,A,
USGS,9147500,5/24/14,10.5,A,5.6,A,
USGS,9147500,5/25/14,10.4,A,6,A,
USGS,9147500,5/26/14,11.8,A,6,A,
USGS,9147500,5/27/14,12.3,A,6.1,A,
USGS,9147500,5/28/14,11.7,A,6.1,A,
USGS,9147500,5/29/14,10.1,A,6.9,A,
USGS,9147500,5/30/14,10.9,A,6.7,A,
USGS,9147500,5/31/14,11.4,A,6,A,
USGS,9147500,6/1/14,11.9,A,6.1,A,
USGS,9147500,6/2/14,11.8,A,5.4,A,
USGS,9147500,6/3/14,12.3,A,6.3,A,
USGS,9147500,6/4/14,12,A,5.8,A,
USGS,9147500,6/5/14,11.2,A,5.7,A,
USGS,9147500,6/6/14,11.5,A,6.2,A,
USGS,9147500,6/7/14,9.4,A,6.4,A,
USGS,9147500,6/8/14,9.7,A,7,A,
USGS,9147500,6/9/14,12.1,A,6.4,A,
USGS,9147500,6/10/14,12.4,A,6.8,A,
USGS,9147500,6/11/14,12.6,A,7.5,A,
USGS,9147500,6/12/14,13.3,A,6.8,A,
USGS,9147500,6/13/14,14.1,A,7,A,
USGS,9147500,6/14/14,11.8,A,6.9,A,
USGS,9147500,6/15/14,13.4,A,6.1,A,
USGS,9147500,6/16/14,13.2,A,7,A,
USGS,9147500,6/17/14,13.7,A,7.3,A,
USGS,9147500,6/18/14,12.6,A,7.3,A,
USGS,9147500,6/19/14,14.3,A,6.9,A,
USGS,9147500,6/20/14,14.8,A,6.9,A,
USGS,9147500,6/21/14,11.7,A,7.8,A,
USGS,9147500,6/22/14,13.2,A,8.1,A,
USGS,9147500,6/23/14,12.3,A,7.8,A,
USGS,9147500,6/24/14,13.3,A,7.6,A,
USGS,9147500,6/25/14,15.4,A,8,A,
USGS,9147500,6/26/14,13.1,A,8.2,A,
USGS,9147500,6/27/14,12.2,A,8.9,A,
USGS,9147500,6/28/14,14.1,A,8.7,A,
USGS,9147500,6/29/14,14.4,A,8.7,A,
USGS,9147500,6/30/14,14.7,A,9.3,A,
USGS,9147500,7/1/14,14.4,A,8.9,A,
USGS,9147500,7/2/14,14.5,A,8.7,A,
USGS,9147500,7/3/14,13.8,A,9.3,A,
USGS,9147500,7/4/14,13.5,A,9.6,A,
USGS,9147500,7/5/14,14.5,A,9.8,A,
USGS,9147500,7/6/14,15.1,A,9.6,A,
USGS,9147500,7/7/14,13.1,A,9.9,A,
USGS,9147500,7/8/14,15.4,A,9.7,A,
USGS,9147500,7/9/14,15.1,A,10.2,A,
USGS,9147500,7/10/14,14.7,A,10.1,A,
USGS,9147500,7/11/14,13.3,A,10.3,A,
USGS,9147500,7/12/14,15.5,A,10.4,A,
USGS,9147500,7/13/14,16,A,10.2,A,
USGS,9147500,7/14/14,15.4,A,10.4,A,
USGS,9147500,7/15/14,14.8,A,10.3,A,
USGS,9147500,7/16/14,13.9,A,10.3,A,
USGS,9147500,7/17/14,15.1,A,9.9,A,
USGS,9147500,7/18/14,13.6,A,9.8,A,
USGS,9147500,7/19/14,15,A,10.1,A,
USGS,9147500,7/20/14,14.3,A,10,A,
USGS,9147500,7/21/14,14.5,A,9.9,A,
USGS,9147500,7/22/14,15.2,A,9.7,A,
USGS,9147500,7/23/14,14.4,A,10.2,A,
USGS,9147500,7/24/14,13.4,A,10.3,A,
USGS,9147500,7/25/14,14.3,A,10.4,A,
USGS,9147500,7/26/14,14.3,A,10.3,A,
USGS,9147500,7/27/14,14.4,A,10.2,A,
USGS,9147500,7/28/14,14.8,A,10.5,A,
USGS,9147500,7/29/14,14,A,10.6,A,
USGS,9147500,7/30/14,14.9,A,10.5,A,
USGS,9147500,7/31/14,13.8,A,10.3,A,
USGS,9147500,8/1/14,14.8,A,10.6,A,
USGS,9147500,8/2/14,15.9,A,10.2,A,
USGS,9147500,8/3/14,15.5,A,10.3,A,
USGS,9147500,8/4/14,14,A,10.9,A,
USGS,9147500,8/5/14,15.7,A,10.7,A,
USGS,9147500,8/6/14,15.8,A,10.4,A,
USGS,9147500,8/7/14,15.4,A,10.6,A,
USGS,9147500,8/8/14,15.5,A,10.2,A,
USGS,9147500,8/9/14,15.4,A,10.3,A,
USGS,9147500,8/10/14,16,A,10.3,A,
USGS,9147500,8/11/14,16,A,10.3,A,
USGS,9147500,8/12/14,14.4,A,10.7,A,
USGS,9147500,8/13/14,14.7,A,11,A,
USGS,9147500,8/14/14,15.7,A,11.1,A,
USGS,9147500,8/15/14,15.9,A,10.9,A,
USGS,9147500,8/16/14,16,A,10.7,A,
USGS,9147500,8/17/14,16.4,A,10.8,A,
USGS,9147500,8/18/14,15.8,A,11.1,A,
USGS,9147500,8/19/14,14.2,A,11.5,A,
USGS,9147500,8/20/14,15.7,A,11.6,A,
USGS,9147500,8/21/14,16,A,11,A,
USGS,9147500,8/22/14,13.8,A,11.4,A,
USGS,9147500,8/23/14,14.2,A,11.4,A,
USGS,9147500,8/24/14,15.8,A,11.5,A,
USGS,9147500,8/25/14,15.9,A,11.3,A,
USGS,9147500,8/26/14,15.8,A,11.5,A,
USGS,9147500,8/27/14,14.5,A,11.5,A,
USGS,9147500,8/28/14,16.8,A,11.5,A,
USGS,9147500,8/29/14,17.5,A,11,A,
USGS,9147500,8/30/14,16.7,A,11.2,A,
USGS,9147500,8/31/14,17.2,A,11.5,A,
USGS,9147500,9/1/14,17.6,A,11,A,
USGS,9147500,9/2/14,17.8,A,11.1,A,
USGS,9147500,9/3/14,18,A,11.5,A,
USGS,9147500,9/4/14,13.8,A,11.3,A,
USGS,9147500,9/5/14,17.7,A,11.7,A,
USGS,9147500,9/6/14,18.2,A,11.8,A,
USGS,9147500,9/7/14,17.5,A,11.6,A,
USGS,9147500,9/8/14,14.5,A,12.4,A,
USGS,9147500,9/9/14,13.7,A,12.1,A,
USGS,9147500,9/10/14,17.9,A,11.8,A,
USGS,9147500,9/11/14,18.6,A,10.8,A,
USGS,9147500,9/12/14,18.5,A,10.7,A,
USGS,9147500,9/13/14,18.9,A,10.4,A,
USGS,9147500,9/14/14,17.9,A,10.9,A,
USGS,9147500,9/15/14,19.5,A,11.2,A,
USGS,9147500,9/16/14,19.6,A,11.4,A,
USGS,9147500,9/17/14,19.3,A,11.5,A,
USGS,9147500,9/18/14,19.5,A,11.5,A,
USGS,9147500,9/19/14,19.3,A,11.8,A,
USGS,9147500,9/20/14,19.3,A,11.7,A,
USGS,9147500,9/21/14,19.6,A,13.1,A,
USGS,9147500,9/22/14,18.1,A,13.5,A,
USGS,9147500,9/23/14,19.6,A,12.1,A,
USGS,9147500,9/24/14,20.1,A,11.1,A,
USGS,9147500,9/25/14,20.5,A,11.3,A,
USGS,9147500,9/26/14,19.9,A,11.4,A,
USGS,9147500,9/27/14,19.1,A,12,A,
USGS,9147500,9/28/14,16.3,A,12.4,A,
USGS,9147500,9/29/14,12.4,A,10.4,A,
USGS,9147500,9/30/14,13.2,A,9,A,
USGS,9147500,10/1/14,11.2,A,9,A,
USGS,9147500,10/2/14,15,A,8.1,A,
USGS,9147500,10/3/14,15.4,A,7,A,
USGS,9147500,10/4/14,15.7,A,7.3,A,
USGS,9147500,10/5/14,16.1,A,7.8,A,
USGS,9147500,10/6/14,16.1,A,8.1,A,
USGS,9147500,10/7/14,15.1,A,8.2,A,
USGS,9147500,10/8/14,15,A,9.5,A,
USGS,9147500,10/9/14,12.4,A,11,A,
USGS,9147500,10/10/14,14.9,A,10.7,A,
USGS,9147500,10/11/14,14.8,A,9,A,
USGS,9147500,10/12/14,11.9,A,9.3,A,
USGS,9147500,10/13/14,14.2,A,8.3,A,
USGS,9147500,10/14/14,14.5,A,6.5,A,
USGS,9147500,10/15/14,14.1,A,7.5,A,
USGS,9147500,10/16/14,15.3,A,7.7,A,
USGS,9147500,10/17/14,14.2,A,7.5,A,
USGS,9147500,10/18/14,14.4,A,9.8,A,
USGS,9147500,10/19/14,15.5,A,10,A,
USGS,9147500,10/20/14,15.4,A,9.5,A,
USGS,9147500,10/21/14,12.8,A,9.9,A,
USGS,9147500,10/22/14,13.6,A,9.4,A,
USGS,9147500,10/23/14,15.4,A,8.9,A,
USGS,9147500,10/24/14,15.4,A,8.7,A,
USGS,9147500,10/25/14,15.4,A,8.5,A,
USGS,9147500,10/26/14,15.7,A,9.6,A,
USGS,9147500,10/27/14,13.5,A,8.9,A,
USGS,9147500,10/28/14,13.5,A,8.3,A,
USGS,9147500,10/29/14,13.8,A,7.3,A,
USGS,9147500,10/30/14,14,A,7.7,A,
USGS,9147500,10/31/14,13.8,A,7.8,A,
USGS,9147500,11/1/14,14.1,A,9.1,A,
USGS,9147500,11/2/14,11.7,A,9.6,A,
USGS,9147500,11/3/14,11.4,A,8.3,A,
USGS,9147500,11/4/14,12.4,A,6.9,A,
USGS,9147500,11/5/14,11.9,A,5.4,A,
USGS,9147500,11/6/14,12.4,A,5.6,A,
USGS,9147500,11/7/14,12.3,A,5.6,A,
USGS,9147500,11/8/14,12.4,A,5.5,A,
USGS,9147500,11/9/14,11.9,A,5.2,A,
USGS,9147500,11/10/14,11.9,A,6.7,A,
USGS,9147500,11/11/14,9.4,A,4.4,A,
USGS,9147500,11/12/14,7.9,A,5.2,A,
USGS,9147500,11/13/14,7.1,A,4.5,A,
USGS,9147500,11/14/14,8.8,A,5.3,A,
USGS,9147500,11/15/14,8.5,A,4.4,A,
USGS,9147500,11/16/14,7.9,A,2.4,A,
USGS,9147500,11/17/14,8.9,A,1.5,A,
USGS,9147500,11/18/14,9,A,1.9,A,
USGS,9147500,11/19/14,8.8,A,2.7,A,
USGS,9147500,11/20/14,7.1,A,3.1,A,
USGS,9147500,11/21/14,9.1,A,3.3,A,
USGS,9147500,11/22/14,8.5,A,2.9,A,
USGS,9147500,11/23/14,5.8,A,3,A,
USGS,9147500,11/24/14,5.7,A,2.1,A,
USGS,9147500,11/25/14,5.7,A,1.3,A,
USGS,9147500,11/26/14,9.3,A,4.2,A,
USGS,9147500,11/27/14,8.7,A,3,A,
USGS,9147500,11/28/14,8.6,A,3.4,A,
USGS,9147500,11/29/14,9.2,A,3.2,A,
USGS,9147500,11/30/14,8.4,A,3.9,A,
USGS,9147500,12/1/14,8.7,A,4,A,
USGS,9147500,12/2/14,7.2,A,2.6,A,
USGS,9147500,12/3/14,8,A,4.6,A,
USGS,9147500,12/4/14,7.4,A,5.1,A,
USGS,9147500,12/5/14,9.4,A,5.2,A,
USGS,9147500,12/6/14,7.8,A,4.2,A,
USGS,9147500,12/7/14,8.8,A,4.1,A,
USGS,9147500,12/8/14,7.9,A,2.8,A,
USGS,9147500,12/9/14,7.9,A,1.9,A,
USGS,9147500,12/10/14,7.7,A,2,A,
USGS,9147500,12/11/14,7.8,A,2.2,A,
USGS,9147500,12/12/14,7,A,3.1,A,
USGS,9147500,12/13/14,6.7,A,3.2,A,
USGS,9147500,12/14/14,5.3,A,3.9,A,
USGS,9147500,12/15/14,6.5,A,2.1,A,
USGS,9147500,12/16/14,6.4,A,1.9,A,
USGS,9147500,12/17/14,6.2,A,3.1,A,
USGS,9147500,12/18/14,6,A,3.4,A,
USGS,9147500,12/19/14,6.7,A,2.5,A,
USGS,9147500,12/20/14,6.3,A,1.3,A,
USGS,9147500,12/21/14,5,A,2.8,A,
USGS,9147500,12/22/14,5.7,A,2.8,A,
USGS,9147500,12/23/14,5,A,0.7,A,
USGS,9147500,12/24/14,5.6,A,0,A,
USGS,9147500,12/25/14,4.8,A,2.2,A,
USGS,9147500,12/26/14,4.8,A,1.3,A,
USGS,9147500,12/27/14,4.8,A,0,A,
USGS,9147500,12/28/14,4.5,A,0,A,
USGS,9147500,12/29/14,4.1,A,0.9,A,
USGS,9147500,12/30/14,3.8,A,0.1,A,
USGS,9147500,12/31/14,3.1,A,0,A,
USGS,9147500,1/1/15,2.6,A,0,A,
USGS,9147500,1/2/15,4.6,A,0,A,
USGS,9147500,1/3/15,3.4,A,0,A,
USGS,9147500,1/4/15,4,A,0,A,
USGS,9147500,1/5/15,5.3,A,0.3,A,
USGS,9147500,1/6/15,6.4,A,1.1,A,
